t,g,R,Q,P,Sn,SnPrime,anomaly
215,0.857127736517347,-0.0233306975144791,0.108971203201169,0.111543467058698,0.857127736517347,0.0108530600292067,0
216,0.756037083663821,-0.101090652853525,0.170775737673225,0.188942336953468,0.756037083663821,0.0102155927334658,0
217,0.949431332884658,0.193394249220837,0.0559981827629056,0.0461512935738552,0.949431332884658,0.0133815403400554,0
218,0.897951840578795,-0.0514794923058639,0.183142904853028,0.192817904058541,0.897951840578795,0.0130800264770411,0
219,0.86596077789795,-0.0319910626808442,0.179184869958102,0.185009861417994,0.86596077789795,0.0128799611562053,0
220,0.813981272141047,-0.0519795057569037,0.176193108803367,0.185593743169219,0.813981272141047,0.012879912612015,0
221,0.877556620647477,0.0635753485064301,0.139920314928915,0.131301700565421,0.877556620647477,0.0135458761555881,0
222,1.18308645078843,0.305529830140951,0.038796418221575,0.0285825987788946,1.18308645078843,0.0162244809306815,0
223,1.073247442342,-0.109839008446429,0.178622208657727,0.199359956568749,1.073247442342,0.0157986458482561,0
224,1.03598698596719,-0.0372604563748076,0.180143025050386,0.186981854121695,1.03598698596719,0.0154226709266766,0
225,0.977540651573104,-0.0584463343940871,0.177377838054882,0.188053871075299,0.977540651573104,0.0131830432173894,0
226,0.841655051296083,-0.135885600277021,0.18374952267937,0.210494419209752,0.841655051296083,0.0126050281356764,0
227,0.747438933716888,-0.0942161175791951,0.181697634520929,0.199648850177108,0.747438933716888,0.0117347820431659,0
228,0.886494302279943,0.139055368563055,0.161709319201576,0.140716190563144,0.886494302279943,0.0128835144318378,0
229,0.978190211462712,0.0916959091827687,0.104701412688988,0.0955277423711817,0.978190211462712,0.0130865928388627,0
230,0.887161677999336,-0.0910285334633754,0.176483287630511,0.193302190390095,0.887161677999336,0.0115467838246538,0
231,0.948447756455777,0.0612860784564402,0.184540226948475,0.173570072425019,0.948447756455777,0.0130664487696089,0
232,0.995861222680955,0.0474134662251786,0.0381511902489044,0.0363845229377241,0.995861222680955,0.0138019329657603,0
233,0.892196633012401,-0.103664589668554,0.129900010909301,0.144088774229071,0.892196633012401,0.0126872843696387,0
234,0.879862567758571,-0.01233406525383,0.181481757362231,0.183734026464039,0.879862567758571,0.0127802727766023,0
235,1.05471407565625,0.174851507897674,0.130683369648957,0.109719363398941,1.05471407565625,0.0152484998953276,0
236,0.91056498741321,-0.144149088243035,0.15581006073089,0.179969392406903,0.91056498741321,0.0145675939024614,0
237,0.896626645872951,-0.0139383415402585,0.179528263396351,0.182048110094017,0.896626645872951,0.0143473111274358,0
238,0.867459864465846,-0.029166781407105,0.174799637833217,0.179973059948108,0.867459864465846,0.0150656229655629,0
239,0.75744020570744,-0.110019658758407,0.185172140203434,0.206707662945093,0.75744020570744,0.0137791806905664,0
240,0.750945577538384,-0.00649462816905544,0.171067266477226,0.172181900413419,0.750945577538384,0.0140157253144127,0
241,0.759034651351238,0.00808907381285384,0.160650394430092,0.159356123316112,0.759034651351238,0.0140281498269032,0
242,0.734132120430795,-0.0249025309204434,0.182426068786388,0.187025976566301,0.734132120430795,0.0135806484090728,0
243,0.7108297460437,-0.0233023743870948,0.185914936918694,0.190298066713595,0.7108297460437,0.0128992259361658,0
244,0.585980482092426,-0.124849263951274,0.0568799326109029,0.0644436929287917,0.585980482092426,0.0110978519585146,0
245,0.625273678558699,0.0392931964662728,0.0892113383434353,0.0857739156196353,0.625273678558699,0.0110340169604836,0
246,0.607061050081838,-0.0182126284768609,0.124926230135417,0.127222310514228,0.607061050081838,0.0116136642216541,0
247,0.6230774510192,0.0160164009373616,0.12190673631838,0.119969782076677,0.6230774510192,0.0111871851012705,0
248,0.484745442019563,-0.138332008999637,0.152176890185684,0.174753359307467,0.484745442019563,0.00946291681352102,0
249,0.537913821165769,0.0531683791462063,0.122984186324621,0.116616106787959,0.537913821165769,0.0105779485910439,0
250,0.437151355901107,-0.100762465264662,0.179316134418551,0.198326136056818,0.437151355901107,0.00955537595862479,0
251,0.31302757622135,-0.124123779679757,0.179633219909273,0.203372827761559,0.31302757622135,0.00779968674834107,0
252,0.172012342131635,-0.141015234089715,0.148236104206224,0.170685304319714,0.172012342131635,0.00706868060407971,0
253,0.372617909116477,0.200605566984842,0.135180868683351,0.110609732531614,0.372617909116477,0.00878734055706119,0
254,0.387309941075479,0.0146920319590018,0.177173282397927,0.17458927550747,0.387309941075479,0.00902801478610078,0
255,0.44480333940155,0.0574933983260713,0.173087600565039,0.163416871469253,0.44480333940155,0.00682941486233187,0
256,0.427587042496812,-0.0172162969047387,0.18164273515075,0.184797025094988,0.427587042496812,0.00703939418968349,0
257,0.320339820445303,-0.107247222051509,0.179063336839924,0.199334995205923,0.320339820445303,0.00591058774387173,0
258,0.116392531743511,-0.203947288701791,0.179174867193545,0.219710227268661,0.116392531743511,0.00360170696678234,0
259,0.10153473776193,-0.0148577939815808,0.154318958209631,0.156628915438257,0.10153473776193,0.00320546879986992,0
260,0.0193241462284393,-0.0822105915334912,0.179838062954184,0.195247383378798,0.0193241462284393,0.00254433835468176,0
261,0,-0.0616994817859593,0.182072535816455,0.193660114980256,-0.04237533555752,0.000850647624141081,0
262,0,-0.0333762763649765,0.184895804006323,0.191171077560666,-0.0757516119224966,4.51348809873608e-05,0
263,0,-0.0761850195331344,0.17873640350273,0.192885574316581,-0.151936631455631,-0.00077909372522494,0
264,0.128645960769529,0.28058259222516,0.0784605071987651,0.0592646385100052,0.128645960769529,0.000303205866294387,0
265,0.0143921672708096,-0.114253793498719,0.178763083915574,0.200399959902742,0.0143921672708096,-0.000841718956836588,0
266,0.00105532188593171,-0.0133368453848779,0.0974849912433997,0.0987938420689638,0.00105532188593171,-0.00076332894957907,0
267,0,-0.101350442455559,0.181394546242529,0.200742885956107,-0.100295120569627,-0.00204273518646139,0
268,0,0.013928393644145,0.177983035662606,0.175521202371044,-0.0863667269254822,-0.00154409113281532,0
269,0,-0.0692876525814716,0.103740339223367,0.111183133309132,-0.155654379506954,-0.00297002520775246,0
270,0,0.0328616582779999,0.165160550288825,0.159821309353236,-0.122792721228954,-0.00311461312363402,0
271,0,0.067692650368095,0.134140183891523,0.12536039527917,-0.0551000708608589,-0.00422253162255526,0
272,0.0133827581564352,0.0684828290172941,0.184962807082739,0.172720025363357,0.0133827581564352,-0.00442131038421384,0
273,0,-0.0607443756269177,0.17608203219185,0.187109564945607,-0.0473616174704825,-0.00475191296736804,0
274,0.11152371513544,0.158885332605923,0.144811158382295,0.123537555755647,0.11152371513544,-0.00243124825848288,0
275,0.0170749389443208,-0.0944487761911192,0.188842535016568,0.207547928958231,0.0170749389443208,-0.00414982336615189,0
276,0.00702240099386775,-0.010052537950453,0.180864684919871,0.182692003234223,0.00702240099386775,-0.00358204266248511,0
